Rig,Pad Number,Pad Name,Well Name 1,Well Name 2  ,Well Name 3 ,Well Name 4 ,Well Name 5 ,Well Name 6,Well number 1,Well number 2,Well number 3,Well number 4,Well number 5,Well number 6,Spud Date Well 1 ,Spud Date Well 2 ,Spud Date Well 3 ,Spud Date Well 4 ,Spud Date Well 5 ,Spud Date Well 6 ,Complete Well 1,Complete Well 2,Complete Well 3,Complete Well 4,Complete Well 5,Complete Well 6,AFE # well 1,AFE # well 2,AFE # well 2,AFE # well 3,AFE # well 4,AFE # well 5,AFE # well 6,Location Status,AFE Status,Permit status well 1,Permit status well 2,Permit status well 3,Permit status well 4,Permit status well 5,Permit status well 6,Phase Window,Unit ID well 1,Unit ID well 2,Unit ID well 3,Unit ID well 4,Unit ID well 5,Unit ID well 6,Unit Name well 1,Unit Name well 2,Unit Name well 3,Unit Name well 4,Unit Name well 5,Unit Name well 6
Sidewinder 60,320129,LEPLEY ,LEPLEY 210218 1F,LEPLEY 210218 2C,LEPLEY 210218 3E,LEPLEY 210218 5D,LEPLEY 210218 4B,LEPLEY 210218 6A,110197,110194,110196,110195,110199,110198,10/8/2014,11/25/2014,1/5/2015,2/19/2015,3/27/2015,4/22/2015,11/25/2014,1/5/2015,2/19/2015,3/27/2015,4/22/2015,5/17/2015,,,,,,,,,,,,,,,,DRY,210218,210218,210218,210218,210218,210218,LEPLEY,LEPLEY,LEPLEY,LEPLEY,LEPLEY,LEPLEY
PDC 71,320248,EDGE,EDGE 210021 1D,EDGE 210126 2A,EDGE 210126 3D,EDGE 210126 4B,EDGE 210126 5C,EDGE 210022 6D,110063,110056,110796,110057,110795,110320,6/1/2015,6/28/2015,7/26/2015,8/19/2015,9/6/2015,9/26/2015,6/28/2015,7/26/2015,8/19/2015,9/6/2015,9/26/2015,10/21/2015,,,,,,,,,,,,,,,,DRY,210021,210126,210126,210126,210126,210022,PUGH RIDGE NORTH,PUGH RIDGE II NORTH,PUGH RIDGE II NORTH,PUGH RIDGE II NORTH,PUGH RIDGE II NORTH,PUGH RIDGE SOUTH
PDC 71,320294,THOMPSON SOUTH,THOMPSON SOUTH 210466 1A,THOMPSON SOUTH 210235 2D,THOMPSON SOUTH 210235 3C,THOMPSON SOUTH 210235 4B,THOMPSON SOUTH 210235 5A,,110810,111702,110809,110808,110807,,10/29/2015,11/24/2015,12/17/2015,1/22/2016,2/18/2016,,11/24/2015,12/17/2015,1/22/2016,2/18/2016,3/22/2016,,,,,,,,,,,,,,,,,DRY,210466,210235,210235,210235,210235,0,THOMPSON SOUTHEAST,THOMPSON SOUTHWEST,THOMPSON SOUTHWEST,THOMPSON SOUTHWEST,THOMPSON SOUTHWEST,
PDC 71,320447,VALERIE,VALERIE 210473 2B,VALERIE 210473 3C,VALERIE 210473 1A,,,,111184,111992,111183,,,,3/27/2016,4/17/2016,5/6/2016,,,,4/17/2016,5/6/2016,5/25/2016,,,,,,,,,,,Complete,Done,Working one open lease and misc. curative,Working one open lease and misc. curative,Working one open lease and misc. curative,Working one open lease and misc. curative,Working one open lease and misc. curative,Working one open lease and misc. curative,DRY,210473,210473,210473,0,0,0,VALERIE,VALERIE,VALERIE,,,
PDC 71,0,,,,,,,,,,,,,,5/30/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
Orange Rig,320101,NEAL,NEAL 210151 XA,NEAL 210151 XB,NEAL 210465 XA,NEAL 210465 XB,NEAL 210225 XA,,110514,110515,110516,110739,110740,,1/1/2018,1/26/2018,2/20/2018,3/17/2018,4/11/2018,,1/26/2018,2/20/2018,3/17/2018,4/11/2018,5/6/2018,,,,,,,,,,,,,,,,,DRY,210151,210151,210465,210465,210225,0,NEAL WEST,NEAL WEST,NEAL EAST,NEAL EAST,SANDY RIDGE B,
Orange Rig,320261,TIGER,TIGER 210187 XC,TIGER 210187 XA,TIGER 210187 XB,TIGER 210293 XA,TIGER 210475 XB,TIGER 210476 XA,110962,110960,110961,110963,111092,111095,5/11/2018,6/5/2018,6/30/2018,7/25/2018,8/19/2018,9/13/2018,6/5/2018,6/30/2018,7/25/2018,8/19/2018,9/13/2018,10/8/2018,,,,,,,,,,,,,,,,DRY,210187,210187,210187,210293,210475,210476,CROZIER RIDGE B,CROZIER RIDGE B,CROZIER RIDGE B,CROZIER RIDGE EAST,RONALD,BAKER
Orange Rig,320323,JONATHAN,JONATHAN 210285 XA,JONATHAN 210285 XB,JONATHAN 210285 XC,JONATHAN 210285 XD,,,110999,111000,111001,111002,,,10/13/2018,11/7/2018,12/2/2018,12/27/2018,,,11/7/2018,12/2/2018,12/27/2018,1/21/2019,,,,,,,,,,,,,,,,,,DRY,210285,210285,210285,210285,0,0,MCMAHON B,MCMAHON B,MCMAHON B,MCMAHON B,,
Orange Rig,320357,BEACON,BEACON 210133 1A,BEACON 210275 2A,,,,,110024,110977,,,,,1/26/2019,2/20/2019,,,,,2/20/2019,3/17/2019,,,,,,,,,,,,,,,,,,,,WET,210133,210275,0,0,0,0,BEACON NORTH,BARNESVILLE C,,,,
Orange Rig,320359,BARNESVILLE,BARNESVILLE 210223 XA,BARNESVILLE 210223 XB,BARNESVILLE 210255 XA,BARNESVILLE 210256 XA,BARNESVILLE 210223 XC,BARNESVILLE 210255 XB,110102,110103,110104,110976,110832,110833,3/22/2019,4/16/2019,5/11/2019,6/5/2019,6/30/2019,7/25/2019,4/16/2019,5/11/2019,6/5/2019,6/30/2019,7/25/2019,8/19/2019,,,,,,,,,,,,,,,,WET,210223,210223,210255,210256,210223,210255,CAT HOLLOW D,CAT HOLLOW D,BARNESVILLE A,BARNESVILLE B,CAT HOLLOW D,BARNESVILLE A
Orange Rig,320342,NORMA,NORMA 210749 XD,NORMA 210169 XA,,,,,110008,110023,,,,,8/24/2019,9/18/2019,,,,,9/18/2019,10/13/2019,,,,,,,,,,,,,,,,,,,,WET,210749,210169,0,0,0,0,JOHN ,NORMA,,,,
Orange Rig,320228,THORNBERRY,THORNBERRY 210120 XA,THORNBERRY 210120 XB,THORNBERRY 210029 XD,THORNBERRY 210029 XC,,,110368,110369,110371,112103,,,10/18/2019,11/12/2019,12/7/2019,1/1/2020,,,11/12/2019,12/7/2019,1/1/2020,1/26/2020,,,,,,,,,,,,,,,,,,DRY,210120,210120,210029,210029,0,0,CRANENEST CREEK III,CRANENEST CREEK III,CRANENEST CREEK II,CRANENEST CREEK II,,
Orange Rig,320144,HUDSON,HUDSON 210106 XD,HUDSON 210254 XA,,,,,111081,110828,,,,,1/31/2020,2/25/2020,,,,,2/25/2020,3/21/2020,,,,,,,,,,,,,,,,,,,,DRY,210106,210254,0,0,0,0,MONROE LAKE II,CLARK A,,,,
Orange Rig,320143,GALLAGHER,GALLAGHER 210150 XD,,,,,,110410,,,,,,3/26/2020,,,,,,4/20/2020,,,,,,,,,,,,,,,,,,,,,DRY,210150,0,0,0,0,0,MONROE LAKE,,,,,
Orange Rig,320247,WHEELER,WHEELER 210125 XD,WHEELER 210091 XA,,,,,110383,110376,,,,,4/25/2020,5/20/2020,,,,,5/20/2020,6/14/2020,,,,,,,,,,,,,,,,,,,,DRY,210125,210091,0,0,0,0,PINEY FORK,EAST FORK II NORTH,,,,
Orange Rig,320221,MCFREDERICK,MCFREDERICK 210012 XD,MCFREDERICK 210118 XB,,,,,110129,110130,,,,,6/19/2020,7/14/2020,,,,,7/14/2020,8/8/2020,,,,,,,,,,,,,,,,,,,,DRY,210012,210118,0,0,0,0,BRUSHY CREEK,PINEY CREEK,,,,
Orange Rig,320148,HICKMAN,HICKMAN 210236 XC,HICKMAN 210070 XC,HICKMAN 210017 XD,,,,110402,110404,110375,,,,8/13/2020,9/7/2020,10/2/2020,,,,9/7/2020,10/2/2020,10/27/2020,,,,,,,,,,,,,,,,,,,DRY,210236,210070,210017,0,0,0,BEALLSVILLE WEST,NEW CASTLE B,EAST FORK NORTH,,,
Orange Rig,320196,WARD,WARD 210749 XA,WARD 210749 XB,WARD 210749 XC,WARD 210749 XD,,,110012,110011,110010,110009,,,11/1/2020,11/26/2020,12/21/2020,1/15/2021,,,11/26/2020,12/21/2020,1/15/2021,2/9/2021,,,,,,,,,,,,,,,,,,WET,210749,210749,210749,210749,0,0,JOHN ,JOHN ,JOHN ,JOHN ,,
Orange Rig,0,,,,,,,,,,,,,,2/14/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
Orange Rig,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
Orange Rig,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
Orange Rig,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
Orange Rig,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
Orange Rig,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
Orange Rig,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
Orange Rig,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
Orange Rig,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
Orange Rig,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
Orange Rig,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
Orange Rig,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
0,0,0,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
Sidewinder 121,320158,TRUAX,TRUAX 210124 1A,TRUAX 210124 2B,TRUAX 210124 3C,TRUAX 210124 4D,TRUAX 210124 5E,,110922,110923,110924,110925,110926,,8/17/2014,9/8/2014,9/30/2014,11/5/2014,12/3/2014,,9/8/2014,9/30/2014,11/5/2014,12/3/2014,12/21/2014,,,,,,,,,,,,,,,,,DRY,210124,210124,210124,210124,210124,0,OZARK V,OZARK V,OZARK V,OZARK V,OZARK V,
Red Rig,320136,DORSEY ,DORSEY 210963 1B,DORSEY 210963 2A,DORSEY 210009 3B,DORSEY 210009 4A,,,110687,110686,110685,110684,,,1/1/2017,1/26/2017,2/20/2017,3/17/2017,,,1/26/2017,2/20/2017,3/17/2017,4/11/2017,,,,,,,,,,,Done,Redesigning unit,Redesigning unit,Redesigning unit,Redesigning unit,Redesigning unit,Redesigning unit,DRY,210963,210963,210009,210009,0,0,DORSEY EAST,DORSEY EAST,DORSEY WEST,DORSEY WEST,,
Red Rig,320238,SINGH,SINGH 210154 XA,SINGH 210154 XB,SINGH 210154 XC,SINGH 210154 XD,,,110680,110681,110682,110683,,,4/16/2017,5/11/2017,6/5/2017,6/30/2017,,,5/11/2017,6/5/2017,6/30/2017,7/25/2017,,,,,,,,,,,Clear,XTO/ARU trade pending,XTO/ARU trade pending,XTO/ARU trade pending,XTO/ARU trade pending,XTO/ARU trade pending,XTO/ARU trade pending,DRY,210154,210154,210154,210154,0,0,SINGH,SINGH,SINGH,SINGH,,
Red Rig,9,, 210953 XC, 210952 XA, 210951 XC, 210950 XA, 210949 XC, 210948 XA,112780,112779,112774,112773,111960,111964,7/30/2017,8/24/2017,9/18/2017,10/13/2017,11/7/2017,12/2/2017,8/24/2017,9/18/2017,10/13/2017,11/7/2017,12/2/2017,12/27/2017,,,,,,,,0,2017,0,0,0,0,0,0,DRY,210953,210952,210951,210950,210949,210948,T29,T28,T27,T26,T25,T24
Red Rig,9,, 210954 XA, 210955 XC, 210956 XA,,,,112768,112764,112765,,,,1/1/2018,1/26/2018,2/20/2018,,,,1/26/2018,2/20/2018,3/17/2018,,,,,,,,,,,0,2017,0,0,0,0,0,0,DRY,210954,210955,210956,0,0,0,T30,T31,T32,,,
Red Rig,9,, 210725 XC, 210727 XA,,,,,111951,111966,,,,,3/22/2018,4/16/2018,,,,,4/16/2018,5/11/2018,,,,,,,,,,,,0,2017,0,0,0,0,0,0,DRY,210725,210727,0,0,0,0,T18,T19,,,,
Red Rig,320319,MCMAHON,MCMAHON 210284 XA,MCMAHON 210284 XB,MCMAHON 210284 XC,MCMAHON 210284 XD,,,110995,110996,110997,110998,,,5/16/2018,6/10/2018,7/5/2018,7/30/2018,,,6/10/2018,7/5/2018,7/30/2018,8/24/2018,,,,,,,,,,,,,,,,,,DRY,210284,210284,210284,210284,0,0,MCMAHON A,MCMAHON A,MCMAHON A,MCMAHON A,,
Red Rig,320571,J,J 210717 XC,,,,,,112125,,,,,,8/29/2018,,,,,,9/23/2018,,,,,,,,,,,,,,,,,,,,,DRY,210717,0,0,0,0,0,T10,,,,,
Red Rig,320574,M,M 210721 XC,M 210723 XA,M 210719 XC,,,,111983,112130,111957,,,,9/28/2018,10/23/2018,11/17/2018,,,,10/23/2018,11/17/2018,12/12/2018,,,,,,,,,,,,,,,,,,,DRY,210721,210723,210719,0,0,0,T16,T17,T15,,,
Red Rig,9,, 210726 XB, 210726 XC, 210724 XC, 210947 XA,,,111968,111967,111984,111980,,,12/17/2018,1/11/2019,2/5/2019,3/2/2019,,,1/11/2019,2/5/2019,3/2/2019,3/27/2019,,,,,,,,,,0,2017,0,0,0,0,0,0,DRY,210726,210726,210724,210947,0,0,CALHOUN,CALHOUN,T14,T22,,
Red Rig,9,, 210718 XC, 210728 XC,,,,,112129,111969,,,,,4/1/2019,4/26/2019,,,,,4/26/2019,5/21/2019,,,,,,,,,,,,0,2017,0,0,0,0,0,0,DRY,210718,210728,0,0,0,0,T11,T20,,,,
Red Rig,9,, 210720 1A,,,,,,111982,,,,,,5/26/2019,,,,,,6/20/2019,,,,,,,,,,,,,0,2017,0,0,0,0,0,0,DRY,210720,0,0,0,0,0,ANGELO,,,,,
Red Rig,9,, 210946 XA, 210722 XC, 210945 XA, 210716 XD,,,111974,111954,112783,112117,,,6/25/2019,7/20/2019,8/14/2019,9/8/2019,,,7/20/2019,8/14/2019,9/8/2019,10/3/2019,,,,,,,,,,0,2017,0,0,0,0,0,0,DRY,210946,210722,210945,210716,0,0,T21,T33,T23,T9,,
Red Rig,9,, 210713 XA, 210715 XD, 210714 XA, 210712 XD,,,111948,112114,111941,112116,,,10/8/2019,11/2/2019,11/27/2019,12/22/2019,,,11/2/2019,11/27/2019,12/22/2019,1/16/2020,,,,,,,,,,0,2017,0,0,0,0,0,0,DRY,210713,210715,210714,210712,0,0,T6,T8,T7,T5,,
Red Rig,9,, 210711 XA, 210709 XA, 210710 XD,,,,111933,111927,112112,,,,1/21/2020,2/15/2020,3/11/2020,,,,2/15/2020,3/11/2020,4/5/2020,,,,,,,,,,,0,2017,0,0,0,0,0,0,DRY,210711,210709,210710,0,0,0,T4,T2,T3,,,
Red Rig,9,, 210708 XA, 210708 XB, 210708 XC, 210708 XD,,,111924,111925,111926,112110,,,4/10/2020,5/5/2020,5/30/2020,6/24/2020,,,5/5/2020,5/30/2020,6/24/2020,7/19/2020,,,,,,,,,,0,2017,0,0,0,0,0,0,DRY,210708,210708,210708,210708,0,0,T1,T1,T1,T1,,
Red Rig,320176,BALLOG,BALLOG 210208 XD,BALLOG 210127 XD,BALLOG 210208 XE,BALLOG 210095 XD,,,110213,112013,110212,112016,,,7/24/2020,8/18/2020,9/12/2020,10/7/2020,,,8/18/2020,9/12/2020,10/7/2020,11/1/2020,,,,,,,,,,,,,,,,,,DRY,210208,210127,210208,210095,0,0,NEW CASTLE A,SANDY RIDGE C,NEW CASTLE A,JAKES RUN A,,
Red Rig,320118,ALICE,ALICE 210096 XD,ALICE 210096 XE,ALICE 210096 XF,ALICE 210729 XB,,,110298,110297,110299,112017,,,11/6/2020,12/1/2020,12/26/2020,1/20/2021,,,12/1/2020,12/26/2020,1/20/2021,2/14/2021,,,,,,,,,,,,,,,,,,DRY,210096,210096,210096,210729,0,0,JAKES RUN B,JAKES RUN B,JAKES RUN B,JAKE'S RUN C,,
Red Rig,9,, 210024 XE, 210024 XF, 210024 XG, 210024 XH,,,111703,111704,111705,111706,,,2/19/2021,3/16/2021,4/10/2021,5/5/2021,,,3/16/2021,4/10/2021,5/5/2021,5/30/2021,,,,,,,,,,0,2017,0,0,0,0,0,0,DRY,210024,210024,210024,210024,0,0,PERKINS,PERKINS,PERKINS,PERKINS,,
Red Rig,320013,TEMPLE,,,,,,,110526,110527,110528,,,,6/4/2021,6/29/2021,7/24/2021,,,,6/29/2021,7/24/2021,8/18/2021,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
0,0,,,,,,,,,,,,,,8/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
0,0,0,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
Patterson 480,320122,JONES,JONES 210068 3A,JONES 210068 2B,JONES 210068 1C,,,,110192,110489,110193,,,,6/16/2014,8/4/2014,8/24/2014,,,,8/4/2014,8/24/2014,9/12/2014,,,,,,,,,,,,,,,,,,,DRY,210068,210068,210068,0,0,0,JONES,JONES,JONES,,,
0,0,0,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
Patterson 253,320088,MCLAUGHLIN,MCLAUGHLIN 210168 2B,MCLAUGHLIN 210272 3A,MCLAUGHLIN 210272 4B,MCLAUGHLIN 210168 5A,,,110518,110519,110520,110517,,,9/16/2014,10/11/2014,1/6/2015,3/2/2015,,,10/11/2014,1/6/2015,3/2/2015,3/26/2015,,,,,,,,,,,,,,,,,,WET,210168,210272,210272,210168,0,0,MCLAUGHLIN WEST,MCLAUGHLIN EAST,MCLAUGHLIN EAST,MCLAUGHLIN WEST,,
Nomac 82,320295,CATTLE,CATTLE 210198 3C,CATTLE 210198 2B,CATTLE 210198 1A,,,,110969,110968,110967,,,,7/12/2015,8/6/2015,8/28/2015,,,,8/6/2015,8/28/2015,9/17/2015,,,,,,,,,,,,,,,,,,,WET,210198,210198,210198,0,0,0,HENDRYSBURG II SOUTH A,HENDRYSBURG II SOUTH A,HENDRYSBURG II SOUTH A,,,
Nomac 82,320293,JADE,JADE 210274 1C,JADE 210274 2B,JADE 210274 3A,,,,110958,110957,110959,,,,9/22/2015,10/13/2015,11/2/2015,,,,10/13/2015,11/2/2015,11/29/2015,,,,,,,,,,,,,,,,,,,WET,210274,210274,210274,0,0,0,HENDRYSBURG II SOUTH B,HENDRYSBURG II SOUTH B,HENDRYSBURG II SOUTH B,,,
Nomac 82,0,,,,,,,,,,,,,,12/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
Nomac 82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
Pink Rig,320272,SCHAEFER,SCHAEFER 210738 XA,SCHAEFER 210737 XA,SCHAEFER 210228 XA,,,,110783,110782,110780,,,,1/1/2019,1/26/2019,2/20/2019,,,,1/26/2019,2/20/2019,3/17/2019,,,,,,,,,,,,,,,,,,,DRY,210738,210737,210228,0,0,0,PINEY FORK C,PINEY FORK B,PINEY FORK A,,,
Pink Rig,320328,BURKE,BURKE 210742 XA,BURKE 210741 XA,BURKE 210072 XA,,,,112052,110222,110223,,,,3/22/2019,4/16/2019,5/11/2019,,,,4/16/2019,5/11/2019,6/5/2019,,,,,,,,,,,,,,,,,,,DRY,210742,210741,210072,0,0,0,OZARK III C,OZARK III B,OZARK III A,,,
Pink Rig,320245,HOLIDAY,HOLIDAY 210644 XB,HOLIDAY 210644 XA,HOLIDAY 210071 XB,HOLIDAY 210071 XA,,,110217,110218,110219,110220,,,6/10/2019,7/5/2019,7/30/2019,8/24/2019,,,7/5/2019,7/30/2019,8/24/2019,9/18/2019,,,,,,,,,,,,,,,,,,DRY,210644,210644,210071,210071,0,0,OZARK II EAST,OZARK II EAST,OZARK II WEST,OZARK II WEST,,
Pink Rig,320191,MOSSER,MOSSER 210097 XA,MOSSER 210250 XD,,,,,110723,110859,,,,,9/23/2019,10/18/2019,,,,,10/18/2019,11/12/2019,,,,,,,,,,,,,,,,,,,,DRY,210097,210250,0,0,0,0,SUNFISH CREEK,SUNFISH CREEK A,,,,
Pink Rig,320015,BICKEL,BICKEL 210130 XA,BICKEL 210214 XB,BICKEL 210214 XA,,,,110288,110286,110285,,,,11/17/2019,12/12/2019,1/6/2020,,,,12/12/2019,1/6/2020,1/31/2020,,,,,,,,,,,,,,,,,,,DRY,210130,210214,210214,0,0,0,HEADLEY RIDGE NORTH,BELMONT RIDGE,BELMONT RIDGE,,,
Pink Rig,320020,AEC,AEC 210215 XD,AEC 210216 XD,AEC 210031 XA,AEC 210216 XC,AEC 210215 XC,,110432,110443,110631,110442,110433,,2/5/2020,3/1/2020,3/26/2020,4/20/2020,5/15/2020,,3/1/2020,3/26/2020,4/20/2020,5/15/2020,6/9/2020,,,,,,,,,,,,,,,,,DRY,210215,210216,210031,210216,210215,0,27,28,30,28,27,
Pink Rig,320340,SUNSBURY,,,,,,,110235,,,,,,6/14/2020,,,,,,7/9/2020,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
Pink Rig,320110,FOLLOWAY,FOLLOWAY 210121 XD,,,,,,110171,,,,,,7/14/2020,,,,,,8/8/2020,,,,,,,,,,,,,,,,,,,,,DRY,210121,0,0,0,0,0,HEADLEY RIDGE II,,,,,
Pink Rig,320448,RAMSEY,RAMSEY 210468 XA,RAMSEY 210469 XC,RAMSEY 210470 XA,,,,111165,111168,111170,,,,8/13/2020,9/7/2020,10/2/2020,,,,9/7/2020,10/2/2020,10/27/2020,,,,,,,,,,,,,,,,,,,DRY,210468,210469,210470,0,0,0,GOUDY SOUTH,CHARLIE SOUTH,RAMSEY,,,
Pink Rig,9,, 210469 XB, 210469 XA,,,,,111167,111166,,,,,11/1/2020,11/26/2020,,,,,11/26/2020,12/21/2020,,,,,,,,,,,,0,2017,0,0,0,0,0,0,DRY,210469,210469,0,0,0,0,CHARLIE SOUTH,CHARLIE SOUTH,,,,
Pink Rig,0,,,,,,,,,,,,,,12/26/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
Pink Rig,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
Green Rig ,320265,HOGSTON,HOGSTON 210014 XA,HOGSTON 210090 XA,HOGSTON 210499 XA,HOGSTON 210707 XB,,,110459,110457,110458,110456,,,1/1/2019,1/26/2019,2/20/2019,3/17/2019,,,1/26/2019,2/20/2019,3/17/2019,4/11/2019,,,,,,,,,,,,,,,,,,DRY,210014,210090,210499,210707,0,0,HOGSTON C,HOGSTON A,HOGSTON B,EISENHOWER C,,
Green Rig ,320117,MEC,MEC 210122 XA,MEC 210027 XA,MEC 210847 XA,MEC 210848 XB,,,110575,112109,110117,110115,,,4/16/2019,5/11/2019,6/5/2019,6/30/2019,,,5/11/2019,6/5/2019,6/30/2019,7/25/2019,,,,,,,,,,,,,,,,,,DRY,210122,210027,210847,210848,0,0,LONG RUN A,MAUMEE ROAD D,MAUMEE ROAD B,MAUMEE ROAD C,,
Green Rig ,320566,DORNON,DORNON 210642 XA,DORNON 210033 XB,DORNON 210033 XA,DORNON 210085 XE,,,110322,110323,110324,112048,,,7/30/2019,8/24/2019,9/18/2019,10/13/2019,,,8/24/2019,9/18/2019,10/13/2019,11/7/2019,,,,,,,,,,,,,,,,,,DRY,210642,210033,210033,210085,0,0,CONDOR EAST,CONDOR WEST,CONDOR WEST,TIMBER WOLF,,
Green Rig ,320036,HORSESHOE,HORSESHOE 210704 XB,HORSESHOE 210732 XC,HORSESHOE 210088 XB,HORSESHOE 210732 XD,,,110326,110327,110423,112032,,,11/12/2019,12/7/2019,1/1/2020,1/26/2020,,,12/7/2019,1/1/2020,1/26/2020,2/20/2020,,,,,,,,,,,,,,,,,,DRY,210704,210732,210088,210732,0,0,RANDY C,RANDY E,RANDY A,RANDY E,,
Green Rig ,320043,LYDIA HENDERSHOT,LYDIA HENDERSHOT 210011 XB,LYDIA HENDERSHOT 210035 XB,,,,,110405,110406,,,,,2/25/2020,3/21/2020,,,,,3/21/2020,4/15/2020,,,,,,,,,,,,,,,,,,,,DRY,210011,210035,0,0,0,0,PATTON A,PATTON B,,,,
Green Rig ,9,, 210735 XA, 210736 XA, 210115 XA,,,,110510,112037,112041,,,,4/20/2020,5/15/2020,6/9/2020,,,,5/15/2020,6/9/2020,7/4/2020,,,,,,,,,,,0,2017,0,0,0,0,0,0,DRY,210735,210736,210115,0,0,0,PATTON D,PATTON E,54,,,
Green Rig ,9,, 210089 XD,,,,,,112029,,,,,,7/9/2020,,,,,,8/3/2020,,,,,,,,,,,,,0,2017,0,0,0,0,0,0,DRY,210089,0,0,0,0,0,MARCUM MORETZ,,,,,
Green Rig ,320227,CALDWELL,CALDWELL 210028 XE,CALDWELL 210217 XA,,,,,112027,110821,,,,,8/8/2020,9/2/2020,,,,,9/2/2020,9/27/2020,,,,,,,,,,,,,,,,,,,,DRY,210028,210217,0,0,0,0,CLOVER RIDGE II,MOAM,,,,
Green Rig ,0,,,,,,,,,,,,,,10/2/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
Green Rig ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
